utctimestamp,total_size_free,total_size_used,total_size_total,total_files,count
2022-05-05 04:44:50.746648+00:00,6631024640,14472843264,21103867904,4195100,109
2022-05-05 04:45:05.749578+00:00,6631008256,14472859648,21103867904,4195100,109
2022-05-05 04:45:20.749364+00:00,6631008256,14472859648,21103867904,4195100,109
2022-05-05 04:45:35.746280+00:00,6631008256,14472859648,21103867904,4195100,109
2022-05-05 04:45:50.754171+00:00,6631000064,14472867840,21103867904,4195100,109
2022-05-05 04:46:05.750532+00:00,6631000064,14472867840,21103867904,4195100,109
2022-05-05 04:46:50.743867+00:00,6630991872,14472876032,21103867904,4195100,109
2022-05-05 04:47:05.760145+00:00,6630983680,14472884224,21103867904,4195100,109
2022-05-05 04:47:20.759006+00:00,6630983680,14472884224,21103867904,4195100,109
2022-05-05 04:47:35.745668+00:00,6630975488,14472892416,21103867904,4195100,109
2022-05-05 04:47:50.746431+00:00,6630967296,14472900608,21103867904,4195100,109
2022-05-05 04:48:05.742747+00:00,6630959104,14472908800,21103867904,4195100,109
2022-05-05 04:50:20.740796+00:00,6630909952,14472957952,21103867904,4195100,109
2022-05-05 04:50:35.739501+00:00,6630901760,14472966144,21103867904,4195100,109
2022-05-05 04:50:50.738519+00:00,6630901760,14472966144,21103867904,4195100,109
2022-05-05 04:51:05.737920+00:00,6630893568,14472974336,21103867904,4195100,109
2022-05-05 04:51:20.755049+00:00,6630893568,14472974336,21103867904,4195100,109
2022-05-05 04:51:35.749334+00:00,6630885376,14472982528,21103867904,4195100,109
2022-05-05 04:51:50.752278+00:00,6630885376,14472982528,21103867904,4195100,109
2022-05-05 04:52:05.737867+00:00,6630885376,14472982528,21103867904,4195100,109
2022-05-05 04:52:20.740221+00:00,6630877184,14472990720,21103867904,4195100,109
2022-05-05 04:52:35.751022+00:00,6630868992,14472998912,21103867904,4195100,109
2022-05-05 04:52:50.744442+00:00,6630860800,14473007104,21103867904,4195100,109
2022-05-05 04:53:05.736434+00:00,6630860800,14473007104,21103867904,4195100,109
2022-05-05 04:53:20.734667+00:00,6630860800,14473007104,21103867904,4195100,109
2022-05-05 04:53:35.732874+00:00,6630860800,14473007104,21103867904,4195100,109
2022-05-05 04:53:50.733761+00:00,6630860800,14473007104,21103867904,4195100,109
2022-05-05 04:54:05.735735+00:00,6630836224,14473031680,21103867904,4195100,109
2022-05-05 04:54:20.733812+00:00,6630836224,14473031680,21103867904,4195100,109
2022-05-05 04:54:35.735769+00:00,6630836224,14473031680,21103867904,4195100,109
2022-05-05 04:54:50.736482+00:00,6630803456,14473064448,21103867904,4195100,109
2022-05-05 04:55:05.733545+00:00,6630803456,14473064448,21103867904,4195100,109
2022-05-05 04:55:20.752539+00:00,6630803456,14473064448,21103867904,4195100,109
2022-05-05 04:55:35.733631+00:00,6630787072,14473080832,21103867904,4195100,109
2022-05-05 04:55:50.733053+00:00,6630787072,14473080832,21103867904,4195100,109
2022-05-05 04:56:05.729512+00:00,6630787072,14473080832,21103867904,4195100,109
2022-05-05 04:56:20.730645+00:00,6630787072,14473080832,21103867904,4195100,109
2022-05-05 04:56:35.734918+00:00,6630778880,14473089024,21103867904,4195100,109
2022-05-05 04:56:50.742419+00:00,6630778880,14473089024,21103867904,4195100,109
2022-05-05 04:57:05.729564+00:00,6630770688,14473097216,21103867904,4195100,109
2022-05-05 04:57:20.730867+00:00,6630762496,14473105408,21103867904,4195100,109
2022-05-05 04:57:35.733538+00:00,6630762496,14473105408,21103867904,4195100,109
2022-05-05 04:57:50.729649+00:00,6630762496,14473105408,21103867904,4195100,109
2022-05-05 04:58:05.747361+00:00,6630754304,14473113600,21103867904,4195100,109
2022-05-05 04:58:20.726883+00:00,6630754304,14473113600,21103867904,4195100,109
2022-05-05 04:58:35.737382+00:00,6630737920,14473129984,21103867904,4195100,109
2022-05-05 05:02:20.744097+00:00,6630664192,14473203712,21103867904,4195100,109
