utctimestamp,in_errors,in_packets,in_bytes,in_dropped,out_errors,out_packets,out_bytes,out_dropped,name
2022-05-05 04:44:54.718073+00:00,0,1471376,71012858,15,0,207078,251176185,0,eth0
2022-05-05 04:45:09.719703+00:00,0,1471390,71013672,15,0,207088,251180338,0,eth0
2022-05-05 04:45:24.713539+00:00,0,1471405,71014567,15,0,207100,251185862,0,eth0
2022-05-05 04:45:39.713189+00:00,0,1471419,71015381,15,0,207110,251190100,0,eth0
2022-05-05 04:45:54.748426+00:00,0,1471435,71016328,15,0,207122,251195592,0,eth0
2022-05-05 04:46:09.709021+00:00,0,1471449,71017142,15,0,207132,251199784,0,eth0
2022-05-05 04:46:54.707222+00:00,0,1471494,71019792,15,0,207167,251215020,0,eth0
2022-05-05 04:47:09.728232+00:00,0,1471507,71020560,15,0,207176,251219184,0,eth0
2022-05-05 04:47:24.719660+00:00,0,1471523,71021501,15,0,207189,251224712,0,eth0
2022-05-05 04:47:39.705545+00:00,0,1471536,71022269,15,0,207198,251228811,0,eth0
2022-05-05 04:47:54.722769+00:00,0,1471553,71023262,15,0,207211,251234342,0,eth0
2022-05-05 04:48:09.702960+00:00,0,1471567,71024076,15,0,207221,251238574,0,eth0
2022-05-05 04:50:24.713058+00:00,0,1471703,71032427,15,0,207327,251283327,0,eth0
2022-05-05 04:50:39.706112+00:00,0,1471717,71033241,15,0,207337,251287494,0,eth0
2022-05-05 04:50:54.704344+00:00,0,1471733,71034188,15,0,207349,251292995,0,eth0
2022-05-05 04:51:09.712710+00:00,0,1471747,71035002,15,0,207359,251297184,0,eth0
2022-05-05 04:51:24.695506+00:00,0,1471762,71035897,15,0,207371,251302681,0,eth0
2022-05-05 04:51:39.707122+00:00,0,1471776,71036711,15,0,207381,251306867,0,eth0
2022-05-05 04:51:54.700446+00:00,0,1471791,71037606,15,0,207393,251312369,0,eth0
2022-05-05 04:52:09.693568+00:00,0,1471805,71038420,15,0,207403,251316560,0,eth0
2022-05-05 04:52:24.689643+00:00,0,1471821,71039367,15,0,207415,251322072,0,eth0
2022-05-05 04:52:39.723134+00:00,0,1471835,71040181,15,0,207425,251326298,0,eth0
2022-05-05 04:52:54.697763+00:00,0,1471850,71041076,15,0,207437,251331790,0,eth0
2022-05-05 04:53:09.698972+00:00,0,1471864,71041890,15,0,207447,251335979,0,eth0
2022-05-05 04:53:24.700798+00:00,0,1471879,71042785,15,0,207459,251341459,0,eth0
2022-05-05 04:53:39.702289+00:00,0,1471893,71043599,15,0,207469,251345671,0,eth0
2022-05-05 04:53:54.707272+00:00,0,1471909,71044540,15,0,207482,251351197,0,eth0
2022-05-05 04:54:09.715300+00:00,0,1471922,71045308,15,0,207491,251355326,0,eth0
2022-05-05 04:54:24.704156+00:00,0,1471938,71046249,15,0,207504,251360865,0,eth0
2022-05-05 04:54:39.695568+00:00,0,1471951,71047017,15,0,207513,251365004,0,eth0
2022-05-05 04:54:54.697804+00:00,0,1471967,71047958,15,0,207526,251370541,0,eth0
2022-05-05 04:55:09.694555+00:00,0,1471980,71048726,15,0,207535,251374692,0,eth0
2022-05-05 04:55:24.741683+00:00,0,1471996,71049667,15,0,207548,251380159,0,eth0
2022-05-05 04:55:39.700283+00:00,0,1472010,71050481,15,0,207558,251384387,0,eth0
2022-05-05 04:55:54.695183+00:00,0,1472025,71051376,15,0,207570,251389878,0,eth0
2022-05-05 04:56:09.693771+00:00,0,1472039,71052190,15,0,207580,251394068,0,eth0
2022-05-05 04:56:24.682136+00:00,0,1472055,71053137,15,0,207592,251399586,0,eth0
2022-05-05 04:56:39.746876+00:00,0,1472069,71053951,15,0,207602,251403792,0,eth0
2022-05-05 04:56:54.743689+00:00,0,1472086,71054944,15,0,207615,251409285,0,eth0
2022-05-05 04:57:09.695872+00:00,0,1472099,71055712,15,0,207624,251413412,0,eth0
2022-05-05 04:57:24.691948+00:00,0,1472115,71056653,15,0,207637,251418947,0,eth0
2022-05-05 04:57:39.681083+00:00,0,1472128,71057421,15,0,207646,251423045,0,eth0
2022-05-05 04:57:54.695076+00:00,0,1472143,71058316,15,0,207658,251428518,0,eth0
2022-05-05 04:58:09.704438+00:00,0,1472157,71059130,15,0,207668,251432699,0,eth0
2022-05-05 04:58:24.689621+00:00,0,1472172,71060025,15,0,207680,251438201,0,eth0
2022-05-05 04:58:39.691543+00:00,0,1472185,71060793,15,0,207689,251442333,0,eth0
2022-05-05 05:02:24.692871+00:00,0,1472403,71073663,15,0,207853,251515617,0,eth0
2022-05-05 05:02:39.684330+00:00,0,1472417,71074477,15,0,207863,251519805,0,eth0
2022-05-05 05:02:54.683368+00:00,0,1472432,71075372,15,0,207875,251525312,0,eth0
2022-05-05 05:03:09.682152+00:00,0,1472446,71076186,15,0,207885,251529514,0,eth0
2022-05-05 05:03:24.691492+00:00,0,1472462,71077127,15,0,207899,251535112,0,eth0
2022-05-05 05:03:39.691989+00:00,0,1472475,71077895,15,0,207908,251539257,0,eth0
2022-05-05 05:03:54.690495+00:00,0,1472491,71078836,15,0,207921,251544772,0,eth0
2022-05-05 05:04:09.694040+00:00,0,1472505,71079650,15,0,207931,251548975,0,eth0
2022-05-05 05:04:24.683934+00:00,0,1472521,71080597,15,0,207943,251554429,0,eth0
