in_errors,in_packets,in_bytes,in_dropped,out_errors,out_packets,out_bytes,out_dropped,name,utctimestamp,hostname
0,1472172,71060025,15,0,207680,251438201,0,eth0,2022-05-05T04:58:24.689621+00:00,VM1
0,1472185,71060793,15,0,207689,251442333,0,eth0,2022-05-05T04:58:39.691543+00:00,VM1
0,1472491,71078836,15,0,207921,251544772,0,eth0,2022-05-05T05:03:54.690495+00:00,VM1
0,1472505,71079650,15,0,207931,251548975,0,eth0,2022-05-05T05:04:09.694040+00:00,VM1
0,1472521,71080597,15,0,207943,251554429,0,eth0,2022-05-05T05:04:24.683934+00:00,VM1
0,1472535,71081411,15,0,207953,251558645,0,eth0,2022-05-05T05:04:39.681699+00:00,VM1
0,1472640,71087577,15,0,208033,251593276,0,eth0,2022-05-05T05:06:24.690907+00:00,VM1
0,1472653,71088345,15,0,208042,251597424,0,eth0,2022-05-05T05:06:39.677421+00:00,VM1
0,1472580,71084061,15,0,207988,251573882,0,eth0,2022-05-05T05:05:24.684511+00:00,VM1
0,1472594,71084875,15,0,207998,251578095,0,eth0,2022-05-05T05:05:39.677223+00:00,VM1
0,1472432,71075372,15,0,207875,251525312,0,eth0,2022-05-05T05:02:54.683368+00:00,VM1
0,1472446,71076186,15,0,207885,251529514,0,eth0,2022-05-05T05:03:09.682152+00:00,VM1
0,1472462,71077127,15,0,207899,251535112,0,eth0,2022-05-05T05:03:24.691492+00:00,VM1
0,1472475,71077895,15,0,207908,251539257,0,eth0,2022-05-05T05:03:39.691989+00:00,VM1
0,1472403,71073663,15,0,207853,251515617,0,eth0,2022-05-05T05:02:24.692871+00:00,VM1
0,1472417,71074477,15,0,207863,251519805,0,eth0,2022-05-05T05:02:39.684330+00:00,VM1
0,1472551,71082352,15,0,207966,251564185,0,eth0,2022-05-05T05:04:54.720647+00:00,VM1
0,1472564,71083120,15,0,207975,251568340,0,eth0,2022-05-05T05:05:09.715390+00:00,VM1
0,1472610,71085822,15,0,208010,251583585,0,eth0,2022-05-05T05:05:54.682610+00:00,VM1
0,1472624,71086636,15,0,208020,251587758,0,eth0,2022-05-05T05:06:09.671504+00:00,VM1
0,1473927,71163711,15,0,209006,252019902,0,eth0,2022-05-05T05:28:24.650172+00:00,VM1
0,1473940,71164479,15,0,209015,252024085,0,eth0,2022-05-05T05:28:39.650652+00:00,VM1
0,1473808,71156719,15,0,208918,251981143,0,eth0,2022-05-05T05:26:24.636592+00:00,VM1
0,1473821,71157487,15,0,208927,251985311,0,eth0,2022-05-05T05:26:39.639414+00:00,VM1
0,1473867,71160189,15,0,208962,252000492,0,eth0,2022-05-05T05:27:24.640278+00:00,VM1
0,1473880,71160957,15,0,208971,252004657,0,eth0,2022-05-05T05:27:39.635292+00:00,VM1
0,1473955,71165374,15,0,209027,252029564,0,eth0,2022-05-05T05:28:54.632569+00:00,VM1
0,1473969,71166188,15,0,209037,252033746,0,eth0,2022-05-05T05:29:09.657755+00:00,VM1
0,1473838,71158480,15,0,208940,251990842,0,eth0,2022-05-05T05:26:54.666193+00:00,VM1
0,1473851,71159248,15,0,208949,251994979,0,eth0,2022-05-05T05:27:09.668693+00:00,VM1
0,1473720,71151540,15,0,208852,251952091,0,eth0,2022-05-05T05:24:54.653524+00:00,VM1
0,1473733,71152308,15,0,208861,251956239,0,eth0,2022-05-05T05:25:09.639774+00:00,VM1
0,1473749,71153255,15,0,208873,251961749,0,eth0,2022-05-05T05:25:24.658402+00:00,VM1
0,1473763,71154069,15,0,208883,251965956,0,eth0,2022-05-05T05:25:39.670635+00:00,VM1
0,1473897,71161950,15,0,208984,252010231,0,eth0,2022-05-05T05:27:54.646383+00:00,VM1
0,1473910,71162718,15,0,208993,252014373,0,eth0,2022-05-05T05:28:09.644819+00:00,VM1
0,1473779,71155010,15,0,208896,251971471,0,eth0,2022-05-05T05:25:54.648315+00:00,VM1
0,1473792,71155778,15,0,208905,251975595,0,eth0,2022-05-05T05:26:09.650601+00:00,VM1
0,1475040,71229711,15,0,209868,252390077,0,eth0,2022-05-05T05:47:24.644999+00:00,VM1
0,1475053,71230479,15,0,209878,252394334,0,eth0,2022-05-05T05:47:39.634318+00:00,VM1
0,1475127,71234844,15,0,209935,252419275,0,eth0,2022-05-05T05:48:54.634313+00:00,VM1
0,1475141,71235658,15,0,209945,252423453,0,eth0,2022-05-05T05:49:09.605628+00:00,VM1
0,1475244,71241732,15,0,210023,252457998,0,eth0,2022-05-05T05:50:54.611234+00:00,VM1
0,1475258,71242546,15,0,210033,252462152,0,eth0,2022-05-05T05:51:09.610506+00:00,VM1
0,1475156,71236553,15,0,209957,252428951,0,eth0,2022-05-05T05:49:24.612905+00:00,VM1
0,1475170,71237367,15,0,209967,252433112,0,eth0,2022-05-05T05:49:39.603654+00:00,VM1
0,1475185,71238262,15,0,209979,252438596,0,eth0,2022-05-05T05:49:54.615163+00:00,VM1
0,1475199,71239076,15,0,209989,252442808,0,eth0,2022-05-05T05:50:09.634898+00:00,VM1
0,1475214,71239971,15,0,210001,252448271,0,eth0,2022-05-05T05:50:24.633892+00:00,VM1
0,1475228,71240785,15,0,210011,252452481,0,eth0,2022-05-05T05:50:39.610189+00:00,VM1
0,1475069,71231420,15,0,209892,252399936,0,eth0,2022-05-05T05:47:54.615184+00:00,VM1
0,1475082,71232188,15,0,209901,252404096,0,eth0,2022-05-05T05:48:09.620125+00:00,VM1
0,1475099,71233181,15,0,209914,252409643,0,eth0,2022-05-05T05:48:24.622492+00:00,VM1
0,1475112,71233949,15,0,209923,252413769,0,eth0,2022-05-05T05:48:39.614106+00:00,VM1
0,1475274,71243493,15,0,210045,252467649,0,eth0,2022-05-05T05:51:24.609297+00:00,VM1
0,1475288,71244307,15,0,210055,252471814,0,eth0,2022-05-05T05:51:39.626905+00:00,VM1
0,1476794,71333405,15,0,211189,252971511,0,eth0,2022-05-05T06:17:24.583278+00:00,VM1
0,1476807,71334173,15,0,211198,252975656,0,eth0,2022-05-05T06:17:39.579689+00:00,VM1
0,1476620,71323145,15,0,211058,252913496,0,eth0,2022-05-05T06:14:24.576596+00:00,VM1
0,1476634,71323959,15,0,211068,252917694,0,eth0,2022-05-05T06:14:39.582529+00:00,VM1
0,1476764,71331644,15,0,211167,252961802,0,eth0,2022-05-05T06:16:54.570091+00:00,VM1
0,1476777,71332412,15,0,211176,252965963,0,eth0,2022-05-05T06:17:09.576107+00:00,VM1
0,1476735,71329935,15,0,211145,252952151,0,eth0,2022-05-05T06:16:24.588235+00:00,VM1
0,1476749,71330749,15,0,211155,252956331,0,eth0,2022-05-05T06:16:39.575864+00:00,VM1
0,1476678,71326563,15,0,211102,252932842,0,eth0,2022-05-05T06:15:24.578151+00:00,VM1
0,1476691,71327331,15,0,211111,252936999,0,eth0,2022-05-05T06:15:39.579274+00:00,VM1
0,1476649,71324854,15,0,211080,252923180,0,eth0,2022-05-05T06:14:54.591085+00:00,VM1
0,1476662,71325622,15,0,211089,252927343,0,eth0,2022-05-05T06:15:09.594789+00:00,VM1
0,1476590,71321384,15,0,211036,252903763,0,eth0,2022-05-05T06:13:54.577687+00:00,VM1
0,1476604,71322198,15,0,211046,252907939,0,eth0,2022-05-05T06:14:09.574929+00:00,VM1
0,1476706,71328226,15,0,211123,252942486,0,eth0,2022-05-05T06:15:54.574369+00:00,VM1
0,1476720,71329040,15,0,211133,252946664,0,eth0,2022-05-05T06:16:09.599726+00:00,VM1
0,1476823,71335120,15,0,211210,252981168,0,eth0,2022-05-05T06:17:54.591938+00:00,VM1
0,1476837,71335934,15,0,211220,252985356,0,eth0,2022-05-05T06:18:09.581207+00:00,VM1
0,1478643,71442746,15,0,212577,253585726,0,eth0,2022-05-05T06:49:09.521339+00:00,VM1
0,1478659,71443687,15,0,212590,253591259,0,eth0,2022-05-05T06:49:24.531672+00:00,VM1
0,1478672,71444455,15,0,212599,253595401,0,eth0,2022-05-05T06:49:39.513669+00:00,VM1
0,1478687,71445350,15,0,212611,253600910,0,eth0,2022-05-05T06:49:54.523540+00:00,VM1
0,1478818,71453058,15,0,212708,253643805,0,eth0,2022-05-05T06:52:09.541726+00:00,VM1
0,1478834,71454005,15,0,212720,253649325,0,eth0,2022-05-05T06:52:24.524731+00:00,VM1
0,1478701,71446164,15,0,212621,253605099,0,eth0,2022-05-05T06:50:09.520042+00:00,VM1
