utctimestamp,count,total_size_used,total_size_total,total_size_free,total_files,severity
2022-06-16 12:20:10.983092+00:00,110,12772937728,20070475776,7297538048,3740066,INFO
2022-06-16 12:20:25.996780+00:00,110,12772937728,20070475776,7297538048,3740066,INFO
2022-06-16 12:20:41.027318+00:00,110,12772945920,20070475776,7297529856,3740066,INFO
2022-06-16 12:20:55.996614+00:00,110,12772962304,20070475776,7297513472,3740066,INFO
2022-06-16 12:21:11.006714+00:00,110,12772995072,20070475776,7297480704,3740066,INFO
2022-06-16 12:21:25.996108+00:00,110,12772995072,20070475776,7297480704,3740066,INFO
2022-06-16 12:21:40.988297+00:00,110,12772995072,20070475776,7297480704,3740066,INFO
2022-06-16 12:21:56.010457+00:00,110,12773011456,20070475776,7297464320,3740066,INFO
2022-06-16 12:22:10.998247+00:00,110,12773011456,20070475776,7297464320,3740066,INFO
2022-06-16 12:22:26.002668+00:00,110,12773019648,20070475776,7297456128,3740066,INFO
2022-06-16 12:22:40.994350+00:00,110,12773019648,20070475776,7297456128,3740066,INFO
2022-06-16 12:22:55.993953+00:00,110,12773019648,20070475776,7297456128,3740066,INFO
2022-06-16 12:23:10.990614+00:00,110,12773019648,20070475776,7297456128,3740066,INFO
2022-06-16 12:23:26.000299+00:00,110,12773027840,20070475776,7297447936,3740066,INFO
2022-06-16 12:23:41.004090+00:00,110,12773036032,20070475776,7297439744,3740066,INFO
2022-06-16 12:23:56.000238+00:00,110,12773044224,20070475776,7297431552,3740066,INFO
2022-06-16 12:24:10.998811+00:00,110,12773052416,20070475776,7297423360,3740066,INFO
2022-06-16 12:24:25.973045+00:00,110,12773052416,20070475776,7297423360,3740066,INFO
2022-06-16 12:24:40.987274+00:00,110,12773052416,20070475776,7297423360,3740066,INFO
2022-06-16 12:24:55.987389+00:00,110,12773060608,20070475776,7297415168,3740066,INFO
2022-06-16 12:25:10.982688+00:00,110,12773060608,20070475776,7297415168,3740066,INFO
2022-06-16 12:25:25.994271+00:00,110,12773060608,20070475776,7297415168,3740066,INFO
2022-06-16 12:25:41.000501+00:00,110,12773060608,20070475776,7297415168,3740066,INFO
2022-06-16 12:25:55.979942+00:00,110,12773068800,20070475776,7297406976,3740066,INFO
2022-06-16 12:26:10.965837+00:00,110,12773101568,20070475776,7297374208,3740066,INFO
2022-06-16 12:26:25.971429+00:00,110,12773117952,20070475776,7297357824,3740066,INFO
2022-06-16 12:26:40.969075+00:00,110,12773117952,20070475776,7297357824,3740066,INFO
2022-06-16 12:26:55.991507+00:00,110,12773117952,20070475776,7297357824,3740066,INFO
2022-06-16 12:27:10.970236+00:00,110,12773117952,20070475776,7297357824,3740066,INFO
2022-06-16 12:27:25.974541+00:00,110,12773126144,20070475776,7297349632,3740066,INFO
2022-06-16 12:27:40.989023+00:00,110,12773126144,20070475776,7297349632,3740066,INFO
2022-06-16 12:27:55.963234+00:00,110,12773134336,20070475776,7297341440,3740066,INFO
2022-06-16 12:28:11.037969+00:00,110,12773134336,20070475776,7297341440,3740066,INFO
2022-06-16 12:28:25.999767+00:00,110,12773142528,20070475776,7297333248,3740066,INFO
2022-06-16 12:28:40.974723+00:00,110,12773142528,20070475776,7297333248,3740066,INFO
2022-06-16 12:28:55.967880+00:00,110,12773158912,20070475776,7297316864,3740066,INFO
2022-06-16 12:29:10.963595+00:00,110,12773158912,20070475776,7297316864,3740066,INFO
2022-06-16 12:29:25.981735+00:00,110,12773167104,20070475776,7297308672,3740066,INFO
2022-06-16 12:29:40.981216+00:00,110,12773167104,20070475776,7297308672,3740066,INFO
2022-06-16 12:29:55.970399+00:00,110,12773167104,20070475776,7297308672,3740066,INFO
2022-06-16 12:30:10.986393+00:00,110,12773167104,20070475776,7297308672,3740066,INFO
2022-06-16 12:30:25.971774+00:00,110,12773167104,20070475776,7297308672,3740066,INFO
2022-06-16 12:30:40.960436+00:00,110,12773175296,20070475776,7297300480,3740066,INFO
2022-06-16 12:30:55.986573+00:00,110,12773191680,20070475776,7297284096,3740066,INFO
2022-06-16 12:31:10.976388+00:00,110,12773224448,20070475776,7297251328,3740066,INFO
2022-06-16 12:31:25.967112+00:00,110,12773224448,20070475776,7297251328,3740066,INFO
2022-06-16 12:31:40.956691+00:00,110,12773224448,20070475776,7297251328,3740066,INFO
2022-06-16 12:31:55.969092+00:00,110,12773224448,20070475776,7297251328,3740066,INFO
2022-06-16 12:32:10.968449+00:00,110,12773224448,20070475776,7297251328,3740066,INFO
2022-06-16 12:32:25.975061+00:00,110,12773240832,20070475776,7297234944,3740066,INFO
2022-06-16 12:32:40.954449+00:00,110,12773240832,20070475776,7297234944,3740066,INFO
2022-06-16 12:32:55.969082+00:00,110,12773249024,20070475776,7297226752,3740066,INFO
2022-06-16 12:33:10.968748+00:00,110,12773249024,20070475776,7297226752,3740066,INFO
2022-06-16 12:33:25.974538+00:00,110,12773249024,20070475776,7297226752,3740066,INFO
2022-06-16 12:33:40.969934+00:00,110,12773249024,20070475776,7297226752,3740066,INFO
