utctimestamp,in_packets,in_dropped,in_bytes,in_errors,name,out_packets,out_dropped,out_bytes,out_errors,severity
2022-06-16 12:20:13.334200+00:00,1979858,10,154018967,0,eth0,3245140,0,1394053615,0,INFO
2022-06-16 12:20:28.327835+00:00,1979928,10,154023640,0,eth0,3245193,0,1394064239,0,INFO
2022-06-16 12:20:43.327427+00:00,1979937,10,154024306,0,eth0,3245208,0,1394069498,0,INFO
2022-06-16 12:20:58.325523+00:00,1979947,10,154024989,0,eth0,3245221,0,1394075129,0,INFO
2022-06-16 12:21:13.341165+00:00,1979959,10,154025830,0,eth0,3245237,0,1394080404,0,INFO
2022-06-16 12:21:28.340733+00:00,1980015,10,154029919,0,eth0,3245276,0,1394088987,0,INFO
2022-06-16 12:21:43.324765+00:00,1980023,10,154030533,0,eth0,3245290,0,1394094165,0,INFO
2022-06-16 12:21:58.325220+00:00,1980036,10,154031486,0,eth0,3245304,0,1394099967,0,INFO
2022-06-16 12:22:13.323374+00:00,1980082,10,154034868,0,eth0,3245342,0,1394107886,0,INFO
2022-06-16 12:22:28.345037+00:00,1980089,10,154035401,0,eth0,3245353,0,1394113364,0,INFO
2022-06-16 12:22:43.351897+00:00,1980098,10,154036061,0,eth0,3245368,0,1394118559,0,INFO
2022-06-16 12:22:58.341275+00:00,1980106,10,154036640,0,eth0,3245380,0,1394124068,0,INFO
2022-06-16 12:23:13.320804+00:00,1980114,10,154037254,0,eth0,3245394,0,1394129219,0,INFO
2022-06-16 12:23:28.320205+00:00,1980122,10,154037833,0,eth0,3245406,0,1394134758,0,INFO
2022-06-16 12:23:43.323105+00:00,1980130,10,154038447,0,eth0,3245420,0,1394139953,0,INFO
2022-06-16 12:23:58.334765+00:00,1980139,10,154039078,0,eth0,3245432,0,1394145507,0,INFO
2022-06-16 12:24:13.329988+00:00,1980148,10,154039738,0,eth0,3245447,0,1394150723,0,INFO
2022-06-16 12:24:28.319148+00:00,1980157,10,154040683,0,eth0,3245461,0,1394156426,0,INFO
2022-06-16 12:24:43.318967+00:00,1980166,10,154041343,0,eth0,3245477,0,1394161735,0,INFO
2022-06-16 12:24:58.319408+00:00,1980173,10,154041876,0,eth0,3245490,0,1394167444,0,INFO
2022-06-16 12:25:13.317416+00:00,1980182,10,154042536,0,eth0,3245506,0,1394172756,0,INFO
2022-06-16 12:25:28.336322+00:00,1980191,10,154043167,0,eth0,3245518,0,1394178331,0,INFO
2022-06-16 12:25:43.329586+00:00,1980199,10,154043781,0,eth0,3245532,0,1394183507,0,INFO
2022-06-16 12:25:58.321177+00:00,1980207,10,154044366,0,eth0,3245543,0,1394189020,0,INFO
2022-06-16 12:26:13.318487+00:00,1980216,10,154045026,0,eth0,3245558,0,1394194222,0,INFO
2022-06-16 12:26:28.314563+00:00,1980224,10,154045611,0,eth0,3245569,0,1394199720,0,INFO
2022-06-16 12:26:43.314693+00:00,1980233,10,154046271,0,eth0,3245584,0,1394204932,0,INFO
2022-06-16 12:26:58.340629+00:00,1980239,10,154046752,0,eth0,3245595,0,1394210404,0,INFO
2022-06-16 12:27:13.320666+00:00,1980247,10,154047366,0,eth0,3245609,0,1394215558,0,INFO
2022-06-16 12:27:28.326312+00:00,1980256,10,154047997,0,eth0,3245621,0,1394221103,0,INFO
2022-06-16 12:27:43.315670+00:00,1980264,10,154048611,0,eth0,3245635,0,1394226256,0,INFO
2022-06-16 12:27:58.321808+00:00,1980272,10,154049190,0,eth0,3245647,0,1394231803,0,INFO
2022-06-16 12:28:13.337767+00:00,1980280,10,154049804,0,eth0,3245661,0,1394236968,0,INFO
2022-06-16 12:28:28.326249+00:00,1980288,10,154050389,0,eth0,3245672,0,1394242462,0,INFO
2022-06-16 12:28:43.334986+00:00,1980297,10,154051049,0,eth0,3245687,0,1394247690,0,INFO
2022-06-16 12:28:58.310312+00:00,1980304,10,154051582,0,eth0,3245698,0,1394253179,0,INFO
2022-06-16 12:29:13.311543+00:00,1980313,10,154052242,0,eth0,3245713,0,1394258388,0,INFO
2022-06-16 12:29:28.308728+00:00,1980321,10,154052827,0,eth0,3245724,0,1394263923,0,INFO
2022-06-16 12:29:43.317351+00:00,1980329,10,154053441,0,eth0,3245738,0,1394269107,0,INFO
2022-06-16 12:29:58.307295+00:00,1980401,10,154058914,0,eth0,3245792,0,1394279625,0,INFO
2022-06-16 12:30:13.310879+00:00,1980412,10,154059720,0,eth0,3245808,0,1394285051,0,INFO
2022-06-16 12:30:28.326806+00:00,1980419,10,154060253,0,eth0,3245819,0,1394290514,0,INFO
2022-06-16 12:30:43.307537+00:00,1980428,10,154060913,0,eth0,3245834,0,1394295725,0,INFO
2022-06-16 12:30:58.323114+00:00,1980436,10,154061498,0,eth0,3245845,0,1394301255,0,INFO
2022-06-16 12:31:13.352879+00:00,1980444,10,154062112,0,eth0,3245859,0,1394306439,0,INFO
2022-06-16 12:31:28.314117+00:00,1980453,10,154062749,0,eth0,3245870,0,1394311920,0,INFO
2022-06-16 12:31:43.312811+00:00,1980462,10,154063409,0,eth0,3245885,0,1394317126,0,INFO
2022-06-16 12:31:58.311603+00:00,1980469,10,154063942,0,eth0,3245896,0,1394322627,0,INFO
2022-06-16 12:32:13.315536+00:00,1980477,10,154064556,0,eth0,3245910,0,1394327795,0,INFO
2022-06-16 12:32:28.326977+00:00,1980486,10,154065187,0,eth0,3245922,0,1394333342,0,INFO
2022-06-16 12:32:43.309537+00:00,1980494,10,154065801,0,eth0,3245936,0,1394338532,0,INFO
2022-06-16 12:32:58.309026+00:00,1980502,10,154066386,0,eth0,3245947,0,1394344043,0,INFO
2022-06-16 12:33:13.304211+00:00,1980511,10,154067046,0,eth0,3245962,0,1394349254,0,INFO
2022-06-16 12:33:28.312797+00:00,1980518,10,154067579,0,eth0,3245973,0,1394354758,0,INFO
2022-06-16 12:33:43.330382+00:00,1980526,10,154068193,0,eth0,3245987,0,1394359890,0,INFO
2022-06-16 12:33:58.312851+00:00,1980533,10,154068726,0,eth0,3245998,0,1394365391,0,INFO
2022-06-16 12:34:13.307399+00:00,1980542,10,154069386,0,eth0,3246013,0,1394370600,0,INFO
2022-06-16 12:34:28.308082+00:00,1980550,10,154069971,0,eth0,3246024,0,1394376096,0,INFO
2022-06-16 12:34:43.310433+00:00,1980558,10,154070585,0,eth0,3246038,0,1394381304,0,INFO
2022-06-16 12:34:58.316807+00:00,1980566,10,154071164,0,eth0,3246050,0,1394386838,0,INFO
2022-06-16 12:35:13.350597+00:00,1980574,10,154071778,0,eth0,3246064,0,1394392016,0,INFO
2022-06-16 12:35:28.308480+00:00,1980582,10,154072363,0,eth0,3246075,0,1394397518,0,INFO
2022-06-16 12:35:43.302047+00:00,1980617,10,154074989,0,eth0,3246106,0,1394404776,0,INFO
2022-06-16 12:35:58.296190+00:00,1980625,10,154075574,0,eth0,3246117,0,1394410303,0,INFO
2022-06-16 12:36:13.302601+00:00,1980633,10,154076188,0,eth0,3246131,0,1394415463,0,INFO
2022-06-16 12:36:28.296850+00:00,1980641,10,154076773,0,eth0,3246142,0,1394421005,0,INFO
2022-06-16 12:36:43.311014+00:00,1980650,10,154077433,0,eth0,3246157,0,1394426201,0,INFO
2022-06-16 12:36:58.316190+00:00,1980658,10,154078012,0,eth0,3246169,0,1394431721,0,INFO
2022-06-16 12:37:13.293167+00:00,1980666,10,154078626,0,eth0,3246183,0,1394436888,0,INFO
2022-06-16 12:37:28.292425+00:00,1980675,10,154079257,0,eth0,3246195,0,1394442445,0,INFO
2022-06-16 12:37:43.292084+00:00,1980684,10,154079917,0,eth0,3246210,0,1394447680,0,INFO
2022-06-16 12:37:58.292761+00:00,1980692,10,154080502,0,eth0,3246221,0,1394453202,0,INFO
2022-06-16 12:38:13.297608+00:00,1980701,10,154081162,0,eth0,3246236,0,1394458409,0,INFO
2022-06-16 12:38:28.291017+00:00,1980709,10,154081741,0,eth0,3246248,0,1394463893,0,INFO
2022-06-16 12:38:43.298762+00:00,1980717,10,154082355,0,eth0,3246262,0,1394469062,0,INFO
2022-06-16 12:38:58.289642+00:00,1980726,10,154082986,0,eth0,3246274,0,1394474601,0,INFO
2022-06-16 12:39:13.289217+00:00,1980735,10,154083646,0,eth0,3246289,0,1394479803,0,INFO
2022-06-16 12:39:28.295486+00:00,1980742,10,154084179,0,eth0,3246300,0,1394485276,0,INFO
2022-06-16 12:39:43.288175+00:00,1980751,10,154084839,0,eth0,3246315,0,1394490472,0,INFO
2022-06-16 12:39:58.288272+00:00,1980760,10,154085470,0,eth0,3246327,0,1394496021,0,INFO
2022-06-16 12:40:13.287358+00:00,1980768,10,154086084,0,eth0,3246341,0,1394501158,0,INFO
2022-06-16 12:40:28.289649+00:00,1980776,10,154086663,0,eth0,3246353,0,1394506654,0,INFO
