utctimestamp,hugepages_used_pct,hugepages_used_bytes,hugepages_total,hugepages_reserved,hugepages_swap_out_fallback,hugepages_swap_out_pages,hugepages_free,hugepages_surplus,hugepages_default_size,used_pct,used_bytes,total,swap_used_pct,swap_used_bytes,swap_in_pages,swap_total,swap_readahead_pages,swap_readahead_cached,swap_free,swap_out_pages,page_stats_pgscan_direct_pages,page_stats_pgscan_kswapd_pages,page_stats_direct_efficiency_pct,page_stats_pgsteal_kswapd_pages,page_stats_pgfree_pages,page_stats_kswapd_efficiency_pct,page_stats_pgsteal_direct_pages,free,actual_free,actual_used_pct,actual_used_bytes,severity
2022-06-01 12:27:02.785403+00:00,0,0,0,0,0,0,0,0,2097152,0.9029,928911360,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42634085,0.8881,129700,99934208,594681856,0.422,434163712,INFO
2022-06-01 12:27:18.230463+00:00,0,0,0,0,0,0,0,0,2097152,0.9029,928911360,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42634167,0.8881,129700,99934208,594690048,0.422,434155520,INFO
2022-06-01 12:27:32.752142+00:00,0,0,0,0,0,0,0,0,2097152,0.9029,928944128,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42636408,0.8881,129700,99901440,594661376,0.422,434184192,INFO
2022-06-01 12:27:48.228533+00:00,0,0,0,0,0,0,0,0,2097152,0.9029,928911360,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42636478,0.8881,129700,99934208,594694144,0.422,434151424,INFO
2022-06-01 12:28:02.751417+00:00,0,0,0,0,0,0,0,0,2097152,0.9029,928944128,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42636581,0.8881,129700,99901440,594669568,0.422,434176000,INFO
2022-06-01 12:28:18.237674+00:00,0,0,0,0,0,0,0,0,2097152,0.9029,928944128,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42636859,0.8881,129700,99901440,594972672,0.4217,433872896,INFO
2022-06-01 12:28:32.748159+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934895616,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42638934,0.8881,129700,93949952,589029376,0.4275,439816192,INFO
2022-06-01 12:28:48.234888+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42638996,0.8881,129700,93917184,588996608,0.4275,439848960,INFO
2022-06-01 12:29:02.763619+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42639106,0.8881,129700,93917184,589000704,0.4275,439844864,INFO
2022-06-01 12:29:18.235752+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42639176,0.8881,129700,93917184,589004800,0.4275,439840768,INFO
2022-06-01 12:29:32.779768+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934895616,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42639287,0.8881,129700,93949952,589058048,0.4275,439787520,INFO
2022-06-01 12:29:48.266926+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934895616,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42639358,0.8881,129700,93949952,589066240,0.4274,439779328,INFO
2022-06-01 12:30:02.764839+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42639463,0.8881,129700,93917184,589037568,0.4275,439808000,INFO
2022-06-01 12:30:18.225500+00:00,0,0,0,0,0,0,0,0,2097152,0.9087,934928384,1028845568,0,0,0,0,0,0,0,0,131323,1136166,0.9876,1008999,42639535,0.8881,129700,93917184,589053952,0.4275,439791616,INFO
