used_pct,used_bytes,page_stats_pgscan_direct_pages,page_stats_direct_efficiency_pct,page_stats_pgfree_pages,actual_free,actual_used_pct
0.8949,684220416,346931,0.9623,45371333,356102144,0.5343
0.8954,684601344,346931,0.9623,45372100,355786752,0.5347
0.8954,684601344,346931,0.9623,45372187,355807232,0.5346
0.8953,684568576,346931,0.9623,45372282,355844096,0.5346
0.8954,684601344,346931,0.9623,45372355,355897344,0.5345
0.8956,684761088,346931,0.9623,45372995,355741696,0.5347
0.8956,684761088,346931,0.9623,45373454,355745792,0.5347
0.8956,684761088,346931,0.9623,45373539,355745792,0.5347
0.91,695754752,346931,0.9623,45375813,349683712,0.5427
0.9098,695619584,346931,0.9623,45376073,349827072,0.5425
0.9098,695619584,346931,0.9623,45376152,349835264,0.5425
0.9098,695619584,346931,0.9623,45376244,349835264,0.5425
0.9098,695619584,346931,0.9623,45376322,349835264,0.5425
0.9098,695619584,346931,0.9623,45376414,349839360,0.5425
0.9098,695619584,346931,0.9623,45376497,349855744,0.5424
0.9098,695619584,346931,0.9623,45376591,349855744,0.5424
0.9098,695619584,346931,0.9623,45376670,349863936,0.5424
0.9098,695619584,346931,0.9623,45376764,349868032,0.5424
0.9099,695705600,346931,0.9623,45377917,347684864,0.5453
0.9099,695705600,346931,0.9623,45378014,347693056,0.5453
0.9099,695705600,346931,0.9623,45378096,349798400,0.5425
0.9099,695705600,346931,0.9623,45378193,349802496,0.5425
0.9098,695631872,346931,0.9623,45379902,347787264,0.5451
0.9098,695631872,346931,0.9623,45379997,348073984,0.5448
0.9098,695631872,346931,0.9623,45380070,348090368,0.5447
0.9098,695631872,346931,0.9623,45380163,348094464,0.5447
0.9098,695631872,346931,0.9623,45380241,348119040,0.5447
0.9098,695599104,346931,0.9623,45380333,349974528,0.5423
0.9098,695631872,346931,0.9623,45380411,349941760,0.5423
0.9098,695599104,346931,0.9623,45380503,349978624,0.5423
0.9098,695631872,346931,0.9623,45380582,349958144,0.5423
0.9098,695599104,346931,0.9623,45380674,349990912,0.5423
0.9098,695631872,346931,0.9623,45380752,349962240,0.5423
0.9085,694640640,347096,0.9623,45381029,350281728,0.5419
0.9085,694673408,347096,0.9623,45381107,350265344,0.5419
0.9085,694640640,347096,0.9623,45381201,350306304,0.5418
0.9085,694673408,347096,0.9623,45381279,350310400,0.5418
0.9085,694640640,347096,0.9623,45381374,350359552,0.5418
0.9085,694673408,347096,0.9623,45381453,350343168,0.5418
0.909,695054336,347096,0.9623,45382133,349966336,0.5423
0.9012,689070080,347096,0.9623,45385275,355975168,0.5344
0.9012,689070080,347096,0.9623,45385362,355975168,0.5344
0.9003,688377856,347260,0.9624,45385618,356007936,0.5344
0.9003,688402432,347260,0.9624,45385861,355983360,0.5344
0.9003,688369664,347260,0.9624,45385943,356040704,0.5343
0.9003,688402432,347260,0.9624,45386027,356016128,0.5344
0.9003,688402432,347260,0.9624,45386114,356028416,0.5344
0.9003,688402432,347260,0.9624,45386198,356028416,0.5344
0.9003,688369664,347260,0.9624,45386284,356065280,0.5343
0.9003,688402432,347260,0.9624,45386368,356036608,0.5343
0.9003,688369664,347260,0.9624,45386455,356077568,0.5343
0.9003,688402432,347260,0.9624,45386539,356044800,0.5343
0.9003,688369664,347260,0.9624,45386624,356085760,0.5343
0.9003,688402432,347260,0.9624,45386709,356057088,0.5343
0.9003,688369664,347260,0.9624,45386795,356089856,0.5343
0.9003,688402432,347260,0.9624,45386880,356089856,0.5343
0.9003,688369664,347260,0.9624,45386965,356134912,0.5342
0.9003,688402432,347260,0.9624,45387052,356106240,0.5343
0.9003,688402432,347260,0.9624,45387131,356114432,0.5342
0.9003,688402432,347260,0.9624,45387225,356118528,0.5342
0.9003,688402432,347260,0.9624,45387304,356118528,0.5342
0.9003,688402432,347260,0.9624,45387398,356118528,0.5342
0.8991,687456256,347424,0.9624,45387657,356401152,0.5339
0.907,693473280,347424,0.9624,45389343,350384128,0.5417
0.907,693473280,347424,0.9624,45389425,350408704,0.5417
0.907,693473280,347424,0.9624,45389509,350416896,0.5417
0.907,693473280,347424,0.9624,45389596,350429184,0.5417
0.907,693473280,347424,0.9624,45389684,350437376,0.5417
0.907,693473280,347424,0.9624,45389769,350449664,0.5417
0.907,693473280,347424,0.9624,45389854,350457856,0.5416
0.907,693473280,347424,0.9624,45389956,350470144,0.5416
0.907,693473280,347424,0.9624,45390041,350474240,0.5416
0.907,693473280,347424,0.9624,45390126,350474240,0.5416
0.907,693473280,347424,0.9624,45390211,350474240,0.5416
0.907,693473280,347424,0.9624,45390297,350478336,0.5416
0.907,693473280,347424,0.9624,45390382,350482432,0.5416
0.907,693473280,347424,0.9624,45390467,350486528,0.5416
0.907,693473280,347424,0.9624,45390570,350486528,0.5416
