severity__,hdbscan_on_1D_data,hdbscan_on_2D_data,dbscan_on_1D_data,dbscan_on_2D_data,kmeans_on_1D_data,kmeans_on_2D_data
INFO,-1,6,0,0,0,4
INFO,4,7,0,1,3,2
INFO,-1,4,0,2,3,5
INFO,4,-1,0,-1,3,2
INFO,-1,4,0,2,3,5
INFO,4,-1,0,-1,3,2
INFO,3,6,0,0,7,4
INFO,-1,6,0,0,7,4
INFO,-1,6,0,0,5,4
INFO,1,0,1,3,2,3
INFO,2,2,1,4,6,1
INFO,2,1,1,5,6,6
INFO,2,2,1,4,6,1
WARNING,1,0,1,3,2,3
WARNING,2,2,1,4,6,1
WARNING,2,1,1,5,6,6
WARNING,2,2,1,4,6,1
WARNING,1,0,1,3,2,3
WARNING,2,1,1,5,6,6
WARNING,2,2,1,4,6,1
INFO,1,0,1,3,2,3
INFO,2,2,1,4,6,1
INFO,2,1,1,5,6,6
INFO,1,0,1,3,2,3
WARNING,2,2,1,4,6,1
WARNING,2,1,1,5,6,6
WARNING,1,0,1,3,2,3
INFO,2,1,1,5,6,6
INFO,2,1,1,5,6,6
INFO,2,2,1,4,6,1
WARNING,1,0,1,3,2,3
WARNING,2,2,1,4,6,1
WARNING,2,1,1,5,6,6
WARNING,1,0,1,3,2,3
WARNING,2,1,1,5,6,6
WARNING,2,1,1,5,6,6
WARNING,1,0,1,3,2,3
INFO,2,1,1,5,6,6
WARNING,2,2,1,4,6,1
WARNING,2,2,1,4,6,1
WARNING,-1,6,0,0,4,4
WARNING,3,6,0,0,7,4
WARNING,3,6,0,0,7,4
WARNING,-1,-1,0,6,7,4
WARNING,3,6,0,0,7,4
WARNING,3,6,0,0,7,4
INFO,5,4,0,2,3,5
INFO,5,4,0,2,3,5
INFO,-1,8,0,6,3,2
INFO,6,5,0,7,3,7
INFO,5,4,0,2,3,5
INFO,6,5,0,7,3,7
INFO,6,5,0,7,3,7
INFO,-1,6,0,0,7,4
INFO,5,4,0,2,3,5
INFO,6,5,0,7,3,7
INFO,-1,8,0,6,3,2
INFO,4,7,0,1,3,2
INFO,5,4,0,2,3,5
INFO,4,7,0,1,3,2
INFO,6,5,0,7,3,7
INFO,4,7,0,1,3,2
INFO,5,4,0,2,3,5
INFO,1,0,1,3,2,3
INFO,0,3,1,8,1,0
INFO,0,3,1,8,1,0
INFO,0,3,1,8,1,0
INFO,0,3,1,8,1,0
INFO,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,0,3,1,8,1,0
CRITICAL,-1,6,0,0,4,4
CRITICAL,3,6,0,0,7,4
CRITICAL,-1,6,0,0,7,4
CRITICAL,-1,8,0,6,3,2
CRITICAL,4,7,0,1,3,2
CRITICAL,4,7,0,1,3,2
INFO,-1,-1,0,-1,3,2
INFO,-1,4,0,2,3,5
INFO,-1,8,0,6,3,2
INFO,-1,4,0,2,3,5
INFO,-1,8,0,6,3,2
INFO,-1,4,0,2,3,5
INFO,4,7,0,1,3,2
INFO,3,6,0,-1,7,4
INFO,-1,6,0,6,7,4
INFO,6,5,0,7,3,7
INFO,4,-1,0,-1,3,2
INFO,-1,8,0,6,3,2
INFO,-1,6,0,0,7,4
