utctimestamp,severity
2022-06-16 12:20:10.993737+00:00,INFO
2022-06-16 12:20:25.990961+00:00,INFO
2022-06-16 12:20:41.021435+00:00,INFO
2022-06-16 12:20:55.988691+00:00,INFO
2022-06-16 12:21:10.992139+00:00,INFO
2022-06-16 12:21:25.990180+00:00,INFO
2022-06-16 12:21:40.982512+00:00,INFO
2022-06-16 12:21:56.003001+00:00,INFO
2022-06-16 12:22:10.992292+00:00,INFO
2022-06-16 12:22:25.993974+00:00,INFO
2022-06-16 12:22:40.988481+00:00,INFO
2022-06-16 12:22:55.987677+00:00,INFO
2022-06-16 12:23:10.984346+00:00,INFO
2022-06-16 12:23:25.994201+00:00,WARNING
2022-06-16 12:23:40.994959+00:00,WARNING
2022-06-16 12:23:55.993895+00:00,WARNING
2022-06-16 12:24:10.992194+00:00,WARNING
2022-06-16 12:24:25.983197+00:00,WARNING
2022-06-16 12:24:40.980962+00:00,WARNING
2022-06-16 12:24:55.981661+00:00,WARNING
2022-06-16 12:25:10.976160+00:00,INFO
2022-06-16 12:25:25.984557+00:00,INFO
2022-06-16 12:25:40.994155+00:00,INFO
2022-06-16 12:25:55.974030+00:00,INFO
2022-06-16 12:26:10.975829+00:00,WARNING
2022-06-16 12:26:25.981940+00:00,WARNING
2022-06-16 12:26:40.979382+00:00,WARNING
2022-06-16 12:26:55.985328+00:00,INFO
2022-06-16 12:27:10.980079+00:00,INFO
2022-06-16 12:27:25.984619+00:00,INFO
2022-06-16 12:27:40.981062+00:00,WARNING
2022-06-16 12:27:55.973703+00:00,WARNING
2022-06-16 12:28:11.017848+00:00,WARNING
2022-06-16 12:28:25.976659+00:00,WARNING
2022-06-16 12:28:40.966903+00:00,WARNING
2022-06-16 12:28:55.978130+00:00,WARNING
2022-06-16 12:29:10.974750+00:00,WARNING
2022-06-16 12:29:25.973987+00:00,INFO
2022-06-16 12:29:40.971503+00:00,WARNING
2022-06-16 12:29:55.983460+00:00,WARNING
2022-06-16 12:30:10.969369+00:00,WARNING
2022-06-16 12:30:25.966065+00:00,WARNING
2022-06-16 12:30:40.970107+00:00,WARNING
2022-06-16 12:30:55.977200+00:00,WARNING
2022-06-16 12:31:10.970366+00:00,WARNING
2022-06-16 12:31:25.961090+00:00,WARNING
2022-06-16 12:31:40.966502+00:00,INFO
2022-06-16 12:31:55.963356+00:00,INFO
2022-06-16 12:32:10.962672+00:00,INFO
2022-06-16 12:32:25.967312+00:00,INFO
2022-06-16 12:32:40.964128+00:00,INFO
2022-06-16 12:32:55.963441+00:00,INFO
2022-06-16 12:33:10.962129+00:00,INFO
2022-06-16 12:33:25.968640+00:00,INFO
2022-06-16 12:33:40.963362+00:00,INFO
2022-06-16 12:33:55.971821+00:00,INFO
2022-06-16 12:34:10.962403+00:00,INFO
2022-06-16 12:34:25.966751+00:00,INFO
2022-06-16 12:34:40.957350+00:00,INFO
2022-06-16 12:34:55.958417+00:00,INFO
2022-06-16 12:35:10.962399+00:00,INFO
2022-06-16 12:35:25.962698+00:00,INFO
2022-06-16 12:35:40.952704+00:00,INFO
2022-06-16 12:35:55.960180+00:00,INFO
2022-06-16 12:36:10.951095+00:00,INFO
2022-06-16 12:36:25.958344+00:00,INFO
2022-06-16 12:36:40.974172+00:00,INFO
2022-06-16 12:36:55.954510+00:00,INFO
2022-06-16 12:37:10.960567+00:00,INFO
2022-06-16 12:37:25.956129+00:00,CRITICAL
2022-06-16 12:37:40.949835+00:00,CRITICAL
2022-06-16 12:37:55.962322+00:00,CRITICAL
2022-06-16 12:38:10.955415+00:00,CRITICAL
2022-06-16 12:38:25.949963+00:00,CRITICAL
2022-06-16 12:38:40.955743+00:00,CRITICAL
2022-06-16 12:38:55.952394+00:00,CRITICAL
2022-06-16 12:39:10.947063+00:00,CRITICAL
2022-06-16 12:39:25.951434+00:00,CRITICAL
2022-06-16 12:39:40.950639+00:00,CRITICAL
2022-06-16 12:39:55.945213+00:00,CRITICAL
2022-06-16 12:40:10.952315+00:00,CRITICAL
2022-06-16 12:40:25.944381+00:00,CRITICAL
2022-06-16 12:40:40.947248+00:00,CRITICAL
2022-06-16 12:40:55.954404+00:00,CRITICAL
2022-06-16 12:41:10.942891+00:00,CRITICAL
2022-06-16 12:41:25.958858+00:00,CRITICAL
2022-06-16 12:41:40.955304+00:00,CRITICAL
2022-06-16 12:41:55.960371+00:00,CRITICAL
2022-06-16 12:42:10.970880+00:00,CRITICAL
2022-06-16 12:42:25.943995+00:00,CRITICAL
2022-06-16 12:42:40.941667+00:00,CRITICAL
2022-06-16 12:42:55.940470+00:00,CRITICAL
2022-06-16 12:43:10.937420+00:00,CRITICAL
2022-06-16 12:43:25.949198+00:00,CRITICAL
2022-06-16 12:43:40.939761+00:00,CRITICAL
2022-06-16 12:43:55.936090+00:00,CRITICAL
2022-06-16 12:44:10.941839+00:00,CRITICAL
2022-06-16 12:44:25.936187+00:00,CRITICAL
2022-06-16 12:44:40.938617+00:00,CRITICAL
2022-06-16 12:44:55.952454+00:00,CRITICAL
2022-06-16 12:45:10.933794+00:00,CRITICAL
2022-06-16 12:45:25.934122+00:00,CRITICAL
2022-06-16 12:45:40.936473+00:00,CRITICAL
2022-06-16 12:45:55.945096+00:00,CRITICAL
2022-06-16 12:46:10.941472+00:00,CRITICAL
2022-06-16 12:46:25.955093+00:00,CRITICAL
2022-06-16 12:46:40.930280+00:00,CRITICAL
2022-06-16 12:46:55.940749+00:00,INFO
2022-06-16 12:47:10.932040+00:00,INFO
2022-06-16 12:47:25.935389+00:00,INFO
2022-06-16 12:47:40.931700+00:00,INFO
2022-06-16 12:47:55.927519+00:00,INFO
2022-06-16 12:48:10.930255+00:00,INFO
2022-06-16 12:48:25.931700+00:00,INFO
2022-06-16 12:48:40.927822+00:00,INFO
2022-06-16 12:48:55.942189+00:00,INFO
2022-06-16 12:49:10.936065+00:00,INFO
2022-06-16 12:49:25.928817+00:00,INFO
2022-06-16 12:49:40.925928+00:00,INFO
2022-06-16 12:49:55.923475+00:00,INFO
