,0
0,43.177757
1,43.20999
2,43.239742
3,43.227848
4,43.218967
5,43.2477
6,43.301266
7,43.281273
8,43.292267
9,43.27833
10,43.2757
11,43.282585
12,41.92036
13,41.922127
14,41.925735
15,41.909576
16,41.894417
17,41.891483
18,41.806293
19,41.77136
20,41.707535
21,41.687958
22,41.597355
23,41.520237
24,41.428734
25,41.357437
26,41.314182
27,41.254818
28,41.186073
29,41.101795
30,41.02631
31,40.972084
32,40.884296
33,40.816895
34,40.720604
35,40.684547
36,40.60413
37,40.616707
38,40.547077
39,40.47632
40,40.4646
41,40.43734
42,40.43157
43,40.42459
44,40.430923
45,40.39929
46,36.38074
47,36.435326
48,36.38536
49,36.389793
50,36.373585
51,36.375362
52,36.30758
53,36.27903
54,36.2727
55,36.20998
56,36.142178
57,36.107468
58,36.04507
59,35.921505
60,35.81044
61,35.85539
62,35.716934
63,35.72398
64,35.623978
65,35.582695
66,35.484512
67,35.449768
68,35.36056
69,35.28764
70,35.275856
71,35.1946
72,35.130554
73,35.105103
74,35.00767
75,34.973576
76,34.839893
77,34.759262
78,34.69829
79,34.649754
80,34.61262
81,34.48883
82,34.476727
83,34.39663
84,34.308167
85,34.259563
86,34.1876
87,34.157047
88,34.0989
89,34.02923
90,33.930088
91,33.895905
92,33.80222
93,33.786915
94,33.770187
95,33.738888
96,33.712967
97,33.703773
98,33.70502
99,33.71384
100,27.044823
101,27.072475
102,27.080519
103,27.03443
104,27.039654
105,27.025026
106,26.991985
107,26.970293
108,26.913086
109,26.962883
110,26.854158
111,26.822279
112,26.737709
113,26.709747
114,26.600117
115,26.581608
116,26.464703
117,26.455925
118,26.372778
119,26.34607
120,26.29317
121,26.240736
122,26.161644
123,26.127928
124,26.08513
125,26.035353
126,25.933622
127,25.931412
128,25.796354
129,25.77833
130,25.74954
131,25.67669
132,25.646677
133,25.55586
134,25.48703
135,25.435995
136,25.39253
137,25.338087
138,25.335943
139,25.331623
140,25.237904
141,25.163427
142,25.160976
143,25.087252
144,25.055063
145,24.968466
146,24.907623
147,24.840006
148,24.755915
149,24.729576
150,24.649519
151,24.554098
152,24.564606
153,24.537813
154,24.491993
155,24.39412
156,24.35803
157,24.295784
158,24.223686
159,24.19737
160,24.116472
161,24.042305
162,24.020891
163,23.908289
164,23.871355
165,23.82028
166,23.749096
167,23.713732
168,23.66549
169,23.54764
170,23.518278
171,23.498316
172,23.44389
173,23.399187
174,23.327848
175,23.362267
176,23.262014
177,23.204336
178,23.15843
179,23.10801
180,23.088501
181,23.034391
182,22.983162
183,23.004902
184,22.973017
185,22.980974
186,23.01668
187,23.005014
188,22.952692
189,22.947601
190,7.43253
191,7.4232464
192,7.4266186
193,7.3712635
194,7.390505
195,7.3312054
196,7.352744
197,7.301377
198,7.256099
199,7.15273
200,7.15201
201,7.074128
202,7.0224485
203,6.968534
204,6.892743
205,6.7960734
206,6.7602983
207,6.644637
208,6.5567265
209,6.5382004
210,6.443201
211,6.392301
212,6.3570375
213,6.293763
214,6.248834
215,6.2114506
216,6.143224
217,6.0836716
218,5.998178
219,5.9474473
220,5.8873615
221,5.819745
222,5.748713
223,5.67785
224,5.6811566
225,5.5929766
226,5.524543
227,5.5153413
228,5.4201126
229,5.35772
230,5.3438134
231,5.267065
232,5.192946
233,5.1778255
234,5.1038065
235,5.0678544
236,4.9925146
237,4.930473
238,4.8541646
239,4.814988
240,4.753862
241,4.6916213
242,4.604
243,4.51046
244,4.449487
245,4.390663
246,4.325619
247,4.258701
248,4.2141485
249,4.1899786
250,4.135826
251,4.0840034
252,3.9762185
253,3.9442935
