,utctimestamp
0,2022-05-05 04:44:54.718073+00:00
1,2022-05-05 04:45:09.719703+00:00
2,2022-05-05 04:45:24.713539+00:00
3,2022-05-05 04:45:39.713189+00:00
4,2022-05-05 04:45:54.748426+00:00
5,2022-05-05 04:46:09.709021+00:00
6,2022-05-05 04:46:54.707222+00:00
7,2022-05-05 04:47:09.728232+00:00
8,2022-05-05 04:47:24.719660+00:00
9,2022-05-05 04:47:39.705545+00:00
10,2022-05-05 04:47:54.722769+00:00
11,2022-05-05 04:48:09.702960+00:00
12,2022-05-05 04:50:24.713058+00:00
13,2022-05-05 04:50:39.706112+00:00
14,2022-05-05 04:50:54.704344+00:00
15,2022-05-05 04:51:09.712710+00:00
16,2022-05-05 04:51:24.695506+00:00
17,2022-05-05 04:51:39.707122+00:00
18,2022-05-05 04:51:54.700446+00:00
19,2022-05-05 04:52:09.693568+00:00
20,2022-05-05 04:52:24.689643+00:00
21,2022-05-05 04:52:39.723134+00:00
22,2022-05-05 04:52:54.697763+00:00
23,2022-05-05 04:53:09.698972+00:00
24,2022-05-05 04:53:24.700798+00:00
25,2022-05-05 04:53:39.702289+00:00
26,2022-05-05 04:53:54.707272+00:00
27,2022-05-05 04:54:09.715300+00:00
28,2022-05-05 04:54:24.704156+00:00
29,2022-05-05 04:54:39.695568+00:00
30,2022-05-05 04:54:54.697804+00:00
31,2022-05-05 04:55:09.694555+00:00
32,2022-05-05 04:55:24.741683+00:00
33,2022-05-05 04:55:39.700283+00:00
34,2022-05-05 04:55:54.695183+00:00
35,2022-05-05 04:56:09.693771+00:00
36,2022-05-05 04:56:24.682136+00:00
37,2022-05-05 04:56:39.746876+00:00
38,2022-05-05 04:56:54.743689+00:00
39,2022-05-05 04:57:09.695872+00:00
40,2022-05-05 04:57:24.691948+00:00
41,2022-05-05 04:57:39.681083+00:00
42,2022-05-05 04:57:54.695076+00:00
43,2022-05-05 04:58:09.704438+00:00
44,2022-05-05 04:58:24.689621+00:00
45,2022-05-05 04:58:39.691543+00:00
46,2022-05-05 05:02:24.692871+00:00
47,2022-05-05 05:02:39.684330+00:00
48,2022-05-05 05:02:54.683368+00:00
49,2022-05-05 05:03:09.682152+00:00
50,2022-05-05 05:03:24.691492+00:00
51,2022-05-05 05:03:39.691989+00:00
52,2022-05-05 05:03:54.690495+00:00
53,2022-05-05 05:04:09.694040+00:00
54,2022-05-05 05:04:24.683934+00:00
55,2022-05-05 05:04:39.681699+00:00
56,2022-05-05 05:04:54.720647+00:00
57,2022-05-05 05:05:09.715390+00:00
58,2022-05-05 05:05:24.684511+00:00
59,2022-05-05 05:05:39.677223+00:00
60,2022-05-05 05:05:54.682610+00:00
61,2022-05-05 05:06:09.671504+00:00
62,2022-05-05 05:06:24.690907+00:00
63,2022-05-05 05:06:39.677421+00:00
64,2022-05-05 05:06:54.679896+00:00
65,2022-05-05 05:07:09.682366+00:00
66,2022-05-05 05:07:24.675653+00:00
67,2022-05-05 05:07:39.713384+00:00
68,2022-05-05 05:07:54.696903+00:00
69,2022-05-05 05:08:09.687710+00:00
70,2022-05-05 05:08:24.693084+00:00
71,2022-05-05 05:08:39.664032+00:00
72,2022-05-05 05:08:54.686015+00:00
73,2022-05-05 05:09:09.694307+00:00
74,2022-05-05 05:09:24.676508+00:00
75,2022-05-05 05:09:39.675266+00:00
76,2022-05-05 05:09:54.662620+00:00
77,2022-05-05 05:10:09.675815+00:00
78,2022-05-05 05:10:24.686778+00:00
79,2022-05-05 05:10:39.689650+00:00
80,2022-05-05 05:10:54.667001+00:00
81,2022-05-05 05:11:09.701954+00:00
82,2022-05-05 05:11:24.670172+00:00
83,2022-05-05 05:11:39.670354+00:00
84,2022-05-05 05:11:54.678179+00:00
85,2022-05-05 05:12:09.671021+00:00
86,2022-05-05 05:12:24.682674+00:00
87,2022-05-05 05:12:39.667039+00:00
88,2022-05-05 05:12:54.681775+00:00
89,2022-05-05 05:13:09.672984+00:00
90,2022-05-05 05:13:24.689996+00:00
91,2022-05-05 05:13:39.666011+00:00
92,2022-05-05 05:13:54.656049+00:00
93,2022-05-05 05:14:09.659323+00:00
94,2022-05-05 05:14:24.671769+00:00
95,2022-05-05 05:14:39.694668+00:00
96,2022-05-05 05:14:54.673684+00:00
97,2022-05-05 05:15:09.666637+00:00
98,2022-05-05 05:15:24.673044+00:00
99,2022-05-05 05:15:39.676188+00:00
100,2022-05-05 05:20:24.657202+00:00
101,2022-05-05 05:20:39.660968+00:00
102,2022-05-05 05:20:54.661798+00:00
103,2022-05-05 05:21:09.667435+00:00
104,2022-05-05 05:21:24.664106+00:00
105,2022-05-05 05:21:39.722554+00:00
106,2022-05-05 05:21:54.655894+00:00
107,2022-05-05 05:22:09.655227+00:00
108,2022-05-05 05:22:24.656675+00:00
109,2022-05-05 05:22:39.660743+00:00
110,2022-05-05 05:22:54.696454+00:00
111,2022-05-05 05:23:09.656388+00:00
112,2022-05-05 05:23:24.666202+00:00
113,2022-05-05 05:23:39.651479+00:00
114,2022-05-05 05:23:54.644758+00:00
115,2022-05-05 05:24:09.670053+00:00
116,2022-05-05 05:24:24.666049+00:00
117,2022-05-05 05:24:39.653713+00:00
118,2022-05-05 05:24:54.653524+00:00
119,2022-05-05 05:25:09.639774+00:00
120,2022-05-05 05:25:24.658402+00:00
121,2022-05-05 05:25:39.670635+00:00
122,2022-05-05 05:25:54.648315+00:00
123,2022-05-05 05:26:09.650601+00:00
124,2022-05-05 05:26:24.636592+00:00
125,2022-05-05 05:26:39.639414+00:00
126,2022-05-05 05:26:54.666193+00:00
127,2022-05-05 05:27:09.668693+00:00
128,2022-05-05 05:27:24.640278+00:00
129,2022-05-05 05:27:39.635292+00:00
130,2022-05-05 05:27:54.646383+00:00
131,2022-05-05 05:28:09.644819+00:00
132,2022-05-05 05:28:24.650172+00:00
133,2022-05-05 05:28:39.650652+00:00
134,2022-05-05 05:28:54.632569+00:00
135,2022-05-05 05:29:09.657755+00:00
136,2022-05-05 05:29:24.646135+00:00
137,2022-05-05 05:29:39.683720+00:00
138,2022-05-05 05:29:54.653135+00:00
139,2022-05-05 05:30:09.661117+00:00
140,2022-05-05 05:30:24.642530+00:00
