total_size_free,total_size_used,total_size_total,total_files,count,utctimestamp,hostname
6630754304,14473113600,21103867904,4195100,109,2022-05-05T04:58:20.726883+00:00,VM1
6630737920,14473129984,21103867904,4195100,109,2022-05-05T04:58:35.737382+00:00,VM1
6630631424,14473236480,21103867904,4195100,109,2022-05-05T05:03:50.739436+00:00,VM1
6630631424,14473236480,21103867904,4195100,109,2022-05-05T05:04:05.719118+00:00,VM1
6630631424,14473236480,21103867904,4195100,109,2022-05-05T05:04:20.718735+00:00,VM1
6630623232,14473244672,21103867904,4195100,109,2022-05-05T05:04:35.717530+00:00,VM1
6630565888,14473302016,21103867904,4195100,109,2022-05-05T05:06:20.732140+00:00,VM1
6630565888,14473302016,21103867904,4195100,109,2022-05-05T05:06:35.720927+00:00,VM1
6630590464,14473277440,21103867904,4195100,109,2022-05-05T05:05:20.717960+00:00,VM1
6630574080,14473293824,21103867904,4195100,109,2022-05-05T05:05:35.718377+00:00,VM1
6630664192,14473203712,21103867904,4195100,109,2022-05-05T05:02:50.722886+00:00,VM1
6630639616,14473228288,21103867904,4195100,109,2022-05-05T05:03:05.718390+00:00,VM1
6630639616,14473228288,21103867904,4195100,109,2022-05-05T05:03:20.719116+00:00,VM1
6630639616,14473228288,21103867904,4195100,109,2022-05-05T05:03:35.728019+00:00,VM1
6630664192,14473203712,21103867904,4195100,109,2022-05-05T05:02:20.744097+00:00,VM1
6630664192,14473203712,21103867904,4195100,109,2022-05-05T05:02:35.720915+00:00,VM1
6630590464,14473277440,21103867904,4195100,109,2022-05-05T05:04:50.718965+00:00,VM1
6630590464,14473277440,21103867904,4195100,109,2022-05-05T05:05:05.718672+00:00,VM1
6630574080,14473293824,21103867904,4195100,109,2022-05-05T05:05:50.720625+00:00,VM1
6630565888,14473302016,21103867904,4195100,109,2022-05-05T05:06:05.720604+00:00,VM1
6630107136,14473760768,21103867904,4195100,109,2022-05-05T05:28:20.704617+00:00,VM1
6630098944,14473768960,21103867904,4195100,109,2022-05-05T05:28:35.682741+00:00,VM1
6630148096,14473719808,21103867904,4195100,109,2022-05-05T05:26:20.685111+00:00,VM1
6630131712,14473736192,21103867904,4195100,109,2022-05-05T05:26:35.691261+00:00,VM1
6630131712,14473736192,21103867904,4195100,109,2022-05-05T05:27:20.687062+00:00,VM1
6630131712,14473736192,21103867904,4195100,109,2022-05-05T05:27:35.683983+00:00,VM1
6630098944,14473768960,21103867904,4195100,109,2022-05-05T05:28:50.684818+00:00,VM1
6630098944,14473768960,21103867904,4195100,109,2022-05-05T05:29:05.683259+00:00,VM1
6630131712,14473736192,21103867904,4195100,109,2022-05-05T05:26:50.705029+00:00,VM1
6630131712,14473736192,21103867904,4195100,109,2022-05-05T05:27:05.698625+00:00,VM1
6630172672,14473695232,21103867904,4195100,109,2022-05-05T05:24:50.688557+00:00,VM1
